Lon,Lat,Time
-97.65168434121904,31.046671493842627,2024-04-05T05:24:44Z
-97.65184822108188,31.04657253159124,2024-04-05T05:24:45Z
-97.65200995859156,31.04647190719293,2024-04-05T05:24:46Z
-97.65216995080046,31.0463708318583,2024-04-05T05:24:47Z
-97.65232844930834,31.046269399470283,2024-04-05T05:24:48Z
-97.65248277888813,31.046167851519606,2024-04-05T05:24:49Z
-97.6526365293472,31.04606710107253,2024-04-05T05:24:50Z
-97.65278775944135,31.045965509359455,2024-04-05T05:24:51Z
-97.65293405723455,31.04586154375999,2024-04-05T05:24:52Z
-97.65307728645892,31.04575605244763,2024-04-05T05:24:53Z
-97.65321785670614,31.045648003583736,2024-04-05T05:24:54Z
-97.65335646829396,31.045537229447447,2024-04-05T05:24:55Z
-97.65349440312481,31.045425483739177,2024-04-05T05:24:56Z
-97.65363040207268,31.045311571996653,2024-04-05T05:24:57Z
-97.65376555073891,31.045196281514205,2024-04-05T05:24:58Z
-97.65389975659888,31.04508016303293,2024-04-05T05:24:59Z
-97.65403634589252,31.044964069973947,2024-04-05T05:25:00Z
-97.65417259264646,31.044849129816804,2024-04-05T05:25:01Z
-97.65431050317095,31.044733451087776,2024-04-05T05:25:02Z
-97.65444683266246,31.044617820416867,2024-04-05T05:25:03Z
-97.65458239571336,31.044500957626013,2024-04-05T05:25:04Z
-97.6547187816291,31.044381048089196,2024-04-05T05:25:05Z
-97.6548553810333,31.04426240650869,2024-04-05T05:25:06Z
-97.65499252443878,31.044145989325198,2024-04-05T05:25:07Z
-97.65513217242413,31.04403049215156,2024-04-05T05:25:08Z
-97.65526753504133,31.04391208375761,2024-04-05T05:25:09Z
-97.65540407985141,31.043792978566174,2024-04-05T05:25:10Z
-97.65554018816823,31.043672677970864,2024-04-05T05:25:11Z
-97.65567265804447,31.043551263952565,2024-04-05T05:25:12Z
-97.65580613613255,31.04343301919537,2024-04-05T05:25:13Z
-97.65594070168123,31.04331893911454,2024-04-05T05:25:14Z
-97.65606690882564,31.043220739451865,2024-04-05T05:25:15Z
-97.65619554251012,31.04313878366147,2024-04-05T05:25:16Z
-97.65632078101785,31.043059723776324,2024-04-05T05:25:17Z
-97.65647634260618,31.043034384549255,2024-04-05T05:25:18Z
-97.65662415232988,31.043000480284704,2024-04-05T05:25:19Z
-97.65678254278417,31.043029754988698,2024-04-05T05:25:20Z
-97.65693210220542,31.043067596499906,2024-04-05T05:25:21Z
-97.65706832686661,31.043130655370607,2024-04-05T05:25:22Z
-97.65718771358165,31.043215243132774,2024-04-05T05:25:23Z
-97.65728036250673,31.043319382406406,2024-04-05T05:25:24Z
-97.65735017473348,31.04343245565051,2024-04-05T05:25:25Z
-97.65742378571068,31.043538380556704,2024-04-05T05:25:26Z
-97.65751782347743,31.043631882575188,2024-04-05T05:25:27Z
-97.65761828844313,31.043711555209654,2024-04-05T05:25:28Z
-97.65772579779403,31.043774511536085,2024-04-05T05:25:29Z
-97.65783150693183,31.043821876415066,2024-04-05T05:25:30Z
-97.65792518559212,31.04383474181494,2024-04-05T05:25:31Z
-97.65799137369497,31.043851576939236,2024-04-05T05:25:32Z
-97.65803401059134,31.04386242177409,2024-04-05T05:25:33Z
-97.65806333112984,31.043869761785885,2024-04-05T05:25:34Z
-97.65808603259708,31.04387499318039,2024-04-05T05:25:35Z
-97.65811064333143,31.043880664548844,2024-04-05T05:25:37Z
-97.65813307118822,31.043885832906163,2024-04-05T05:25:39Z
-97.65815749076022,31.043891460238303,2024-04-05T05:25:40Z
-97.65819304552363,31.043899653588426,2024-04-05T05:25:41Z
-97.65820791846689,31.043915146365457,2024-04-05T05:25:42Z
-97.65816262201714,31.04407510561454,2024-04-05T05:25:43Z
-97.65813827465948,31.044141057875343,2024-04-05T05:25:44Z
-97.6581162805451,31.04420580945718,2024-04-05T05:25:45Z
-97.65809396673951,31.04426651366417,2024-04-05T05:25:46Z
-97.65807007687228,31.044333576418545,2024-04-05T05:25:47Z
-97.65804149751692,31.04441498816387,2024-04-05T05:25:48Z
-97.65800917770622,31.044507774681897,2024-04-05T05:25:49Z
-97.65797200935285,31.044613507337314,2024-04-05T05:25:50Z
-97.65793200656003,31.044731150376887,2024-04-05T05:25:51Z
-97.65788818913991,31.04486080003996,2024-04-05T05:25:52Z
-97.65783778284782,31.045001342566795,2024-04-05T05:25:53Z
-97.657784128714,31.0451524789357,2024-04-05T05:25:54Z
-97.65772857756478,31.045309016032288,2024-04-05T05:25:55Z
-97.6576778932683,31.04545837823357,2024-04-05T05:25:56Z
-97.65762757931262,31.045604271733087,2024-04-05T05:25:57Z
-97.6575765981388,31.045750085143688,2024-04-05T05:25:58Z
-97.65752389336272,31.045900243966674,2024-04-05T05:25:59Z
-97.65746843344303,31.046055145278814,2024-04-05T05:26:00Z
-97.65741220136687,31.04621469400274,2024-04-05T05:26:01Z
-97.65735352828077,31.04637938467309,2024-04-05T05:26:02Z
-97.65729409163833,31.046548260619005,2024-04-05T05:26:03Z
-97.65723259950781,31.046719175623505,2024-04-05T05:26:04Z
-97.65717067016712,31.046893603893732,2024-04-05T05:26:05Z
-97.65710788280371,31.047071387333894,2024-04-05T05:26:06Z
-97.6570442479735,31.047247706619675,2024-04-05T05:26:07Z
-97.65698068379662,31.04742329617283,2024-04-05T05:26:08Z
-97.65691682756491,31.047599570390517,2024-04-05T05:26:09Z
-97.65685643917732,31.04777554206228,2024-04-05T05:26:10Z
-97.65679647572581,31.047950805002454,2024-04-05T05:26:11Z
-97.65673579860221,31.048125509744075,2024-04-05T05:26:12Z
-97.6566732548862,31.04829977008013,2024-04-05T05:26:13Z
-97.65661054372616,31.048474159504135,2024-04-05T05:26:14Z
-97.65654923425487,31.048647612045787,2024-04-05T05:26:15Z
-97.65648806181757,31.048821104246798,2024-04-05T05:26:16Z
-97.65642710994267,31.048994697904682,2024-04-05T05:26:17Z
-97.6563656419905,31.049169166873536,2024-04-05T05:26:18Z
-97.65630345716605,31.049344892578745,2024-04-05T05:26:19Z
-97.65623988082267,31.049521672244435,2024-04-05T05:26:20Z
-97.6561760424363,31.049699715621884,2024-04-05T05:26:21Z
